Park,Lake_Code,Lake,Sample_Date,Treatment,Treatment_N_ug,Treatment_P_ug,Treatment_Category,chl_a_ugL
NOCA,CP-01-01,Doubtful,8/26/13,112 N + 31 P,112,31,112 ug N + 31 ug P,2.87
NOCA,CP-01-01,Doubtful,8/26/13,control,0,0,no enrichment,0.36
NOCA,CP-01-01,Doubtful,8/26/13,112 N + 31 P,112,31,112 ug N + 31 ug P,3.92
NOCA,CP-01-01,Doubtful,8/26/13,112 N,112,0,N only,0.97
NOCA,CP-01-01,Doubtful,8/26/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.13
NOCA,CP-01-01,Doubtful,8/26/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.2
NOCA,CP-01-01,Doubtful,8/26/13,31 P,0,31,P only,0.29
NOCA,CP-01-01,Doubtful,8/26/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.19
NOCA,CP-01-01,Doubtful,8/26/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.22
NOCA,CP-01-01,Doubtful,8/26/13,31 P,0,31,P only,0.33
NOCA,CP-01-01,Doubtful,8/26/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.22
NOCA,CP-01-01,Doubtful,8/26/13,control,0,0,no enrichment,0.27
NOCA,CP-01-01,Doubtful,8/26/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.13
NOCA,CP-01-01,Doubtful,8/26/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.14
NOCA,CP-01-01,Doubtful,8/26/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.11
NOCA,CP-01-01,Doubtful,8/26/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.19
NOCA,CP-01-01,Doubtful,8/19/13,initial,0,0,no enrichment,0.38
NOCA,CP-01-01,Doubtful,8/26/13,112 N,112,0,N only,1.05
NOCA,CP-01-01,Doubtful,8/26/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.2
NOCA,CP-01-01,Doubtful,8/26/13,31 P,0,31,P only,0.19
NOCA,CP-01-01,Doubtful,8/26/13,112 N + 31 P,112,31,112 ug N + 31 ug P,2.84
NOCA,CP-01-01,Doubtful,8/26/13,control,0,0,no enrichment,0.27
NOCA,CP-01-01,Doubtful,8/19/13,initial,0,0,no enrichment,0.34
NOCA,CP-01-01,Doubtful,8/19/13,initial,0,0,no enrichment,0.28
NOCA,CP-01-01,Doubtful,8/26/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.2
NOCA,CP-01-01,Doubtful,8/26/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.21
NOCA,MC-06-01,Copper,9/5/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.07
NOCA,MC-06-01,Copper,9/5/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.08
NOCA,MC-06-01,Copper,9/5/13,112 N + 31 P,112,31,112 ug N + 31 ug P,0.52
NOCA,MC-06-01,Copper,9/5/13,31 P,0,31,P only,0.18
NOCA,MC-06-01,Copper,9/5/13,31 P,0,31,P only,0.18
NOCA,MC-06-01,Copper,9/5/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.04
NOCA,MC-06-01,Copper,9/5/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.05
NOCA,MC-06-01,Copper,9/5/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.07
NOCA,MC-06-01,Copper,9/5/13,control,0,0,no enrichment,0.19
NOCA,MC-06-01,Copper,9/5/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.03
NOCA,MC-06-01,Copper,9/5/13,112 N,112,0,N only,0.23
NOCA,MC-06-01,Copper,9/5/13,control,0,0,no enrichment,0.13
NOCA,MC-06-01,Copper,9/5/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.09
NOCA,MC-06-01,Copper,9/5/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.11
NOCA,MC-06-01,Copper,9/5/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.03
NOCA,MC-06-01,Copper,9/5/13,112 N + 31 P,112,31,112 ug N + 31 ug P,0.55
NOCA,MC-06-01,Copper,9/5/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.11
NOCA,MC-06-01,Copper,9/5/13,112 N + 31 P,112,31,112 ug N + 31 ug P,0.53
NOCA,MC-06-01,Copper,9/5/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.23
NOCA,MC-06-01,Copper,9/5/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.08
NOCA,MC-06-01,Copper,9/5/13,112 N,112,0,N only,0.16
NOCA,MC-06-01,Copper,9/5/13,31 P,0,31,P only,0.27
NOCA,MC-06-01,Copper,9/5/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.08
NOCA,MC-06-01,Copper,9/5/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.11
NOCA,MC-06-01,Copper,8/29/13,initial,0,0,no enrichment,0.3
NOCA,MC-06-01,Copper,8/29/13,initial,0,0,no enrichment,0.25
NOCA,MC-06-01,Copper,9/5/13,control,0,0,no enrichment,0.21
NOCA,MC-06-01,Copper,8/29/13,initial,0,0,no enrichment,0.3
NOCA,MC-06-01,Copper,9/5/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.1
NOCA,MC-06-01,Copper,9/5/13,112 N,112,0,N only,0.31
MORA,lw09,Hidden,8/19/14,control,0,0,no enrichment,0.51
MORA,lw09,Hidden,8/19/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.46
MORA,lw09,Hidden,8/19/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.35
MORA,lw09,Hidden,8/19/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.8
MORA,lw09,Hidden,8/19/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.22
MORA,lw09,Hidden,8/19/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.52
MORA,lw09,Hidden,8/19/14,56,56,31,N + 31 ug P + 2.8 mg Si,1.65
MORA,lw09,Hidden,8/19/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.28
MORA,lw09,Hidden,8/19/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.27
MORA,lw09,Hidden,8/19/14,control,0,0,no enrichment,0.11
MORA,lw09,Hidden,8/12/14,initial,0,0,no enrichment,0.53
MORA,lw09,Hidden,8/19/14,56,56,31,N + 31 ug P + 2.8 mg Si,1.02
MORA,lw09,Hidden,8/19/14,control,0,0,no enrichment,0.18
MORA,lw09,Hidden,8/19/14,112 N,112,0,N only,0.58
MORA,lw09,Hidden,8/12/14,initial,0,0,no enrichment,1.06
MORA,lw09,Hidden,8/12/14,initial,0,0,no enrichment,0.28
MORA,lw09,Hidden,8/19/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.22
MORA,lw09,Hidden,8/19/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.11
MORA,lw09,Hidden,8/19/14,112 N + 31 P,112,31,112 ug N + 31 ug P,3.67
MORA,lw09,Hidden,8/19/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.15
MORA,lw09,Hidden,8/19/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.25
MORA,lw09,Hidden,8/19/14,31 P,0,31,P only,0.16
MORA,lw09,Hidden,8/19/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.1
MORA,lw09,Hidden,8/19/14,112 N,112,0,N only,0.43
MORA,lw09,Hidden,8/19/14,31 P,0,31,P only,0.1
MORA,lw09,Hidden,8/19/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.25
MORA,lw09,Hidden,8/19/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.35
MORA,lw09,Hidden,8/19/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.26
MORA,lw09,Hidden,8/19/14,112 N + 31 P,112,31,112 ug N + 31 ug P,1.35
MORA,lw09,Hidden,8/19/14,112 N,112,0,N only,0.39
MORA,lw09,Hidden,8/19/14,31 P,0,31,P only,0.1
MORA,lw09,Hidden,8/19/14,112 N + 31 P,112,31,112 ug N + 31 ug P,1.58
MORA,lw09,Hidden,8/19/14,14,14,31,N + 31 ug P + 2.8 mg Si,1.09
MORA,LH15,LH15,8/14/14,initial,0,0,no enrichment,0.26
MORA,LH15,LH15,8/21/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.13
MORA,LH15,LH15,8/21/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.48
MORA,LH15,LH15,8/21/14,control,0,0,no enrichment,0.15
MORA,LH15,LH15,8/21/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.12
MORA,LH15,LH15,8/21/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.14
MORA,LH15,LH15,8/21/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.15
MORA,LH15,LH15,8/21/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.15
MORA,LH15,LH15,8/21/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.13
MORA,LH15,LH15,8/21/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.41
MORA,LH15,LH15,8/21/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.11
MORA,LH15,LH15,8/21/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.15
MORA,LH15,LH15,8/21/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.21
MORA,LH15,LH15,8/21/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.14
MORA,LH15,LH15,8/21/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.11
MORA,LH15,LH15,8/21/14,control,0,0,no enrichment,0.15
MORA,LH15,LH15,8/14/14,initial,0,0,no enrichment,0.28
MORA,LH15,LH15,8/21/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.68
MORA,LH15,LH15,8/21/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.11
MORA,LH15,LH15,8/21/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.12
MORA,LH15,LH15,8/14/14,initial,0,0,no enrichment,0.21
MORA,LH15,LH15,8/21/14,control,0,0,no enrichment,0.11
MORA,LH15,LH15,8/21/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.7
MORA,LH15,LH15,8/21/14,112 N,112,0,N only,0.06
MORA,LH15,LH15,8/21/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.49
MORA,LH15,LH15,8/21/14,112 N + 31 P,112,31,112 ug N + 31 ug P,1.98
MORA,LH15,LH15,8/21/14,31 P,0,31,P only,0.06
MORA,LH15,LH15,8/21/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.71
MORA,LH15,LH15,8/21/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.42
MORA,LH15,LH15,8/21/14,31 P,0,31,P only,0.05
MORA,LH15,LH15,8/21/14,31 P,0,31,P only,0.04
MORA,LH15,LH15,8/21/14,112 N,112,0,N only,0.14
MORA,LH15,LH15,8/21/14,112 N,112,0,N only,0.17
MORA,ln03,Allen,8/23/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.05
MORA,ln03,Allen,8/23/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.07
MORA,ln03,Allen,8/23/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.04
MORA,ln03,Allen,8/23/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.11
MORA,ln03,Allen,8/23/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.25
MORA,ln03,Allen,8/23/14,31 P,0,31,P only,0.09
MORA,ln03,Allen,8/23/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.07
MORA,ln03,Allen,8/23/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.09
MORA,ln03,Allen,8/23/14,31 P,0,31,P only,0.11
MORA,ln03,Allen,8/23/14,control,0,0,no enrichment,0.06
MORA,ln03,Allen,8/23/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.1
MORA,ln03,Allen,8/23/14,112 N,112,0,N only,0.16
MORA,ln03,Allen,8/23/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.73
MORA,ln03,Allen,8/16/16,initial,0,0,no enrichment,0.13
MORA,ln03,Allen,8/23/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.8
MORA,ln03,Allen,8/23/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.07
MORA,ln03,Allen,8/23/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.22
MORA,ln03,Allen,8/23/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.27
MORA,ln03,Allen,8/16/16,initial,0,0,no enrichment,0.13
MORA,ln03,Allen,8/23/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.16
MORA,ln03,Allen,8/23/14,31 P,0,31,P only,0.09
MORA,ln03,Allen,8/23/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.05
MORA,ln03,Allen,8/23/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.06
MORA,ln03,Allen,8/23/14,control,0,0,no enrichment,0.07
MORA,ln03,Allen,8/23/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.08
MORA,ln03,Allen,8/23/14,control,0,0,no enrichment,0.1
MORA,ln03,Allen,8/23/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.07
MORA,ln03,Allen,8/23/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.39
MORA,ln03,Allen,8/23/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.06
MORA,ln03,Allen,8/23/14,112 N,112,0,N only,0.25
MORA,ln03,Allen,8/23/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.09
MORA,ln03,Allen,8/23/14,112 N,112,0,N only,0.19
MORA,ln03,Allen,8/16/14,initial,0,0,no enrichment,0.1
OLYM,Hoh,Hoh,9/14/14,initial,0,0,no enrichment,0.57
OLYM,Hoh,Hoh,9/22/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.09
OLYM,Hoh,Hoh,9/22/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.18
OLYM,Hoh,Hoh,9/14/14,initial,0,0,no enrichment,0.48
OLYM,Hoh,Hoh,9/22/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.08
OLYM,Hoh,Hoh,9/22/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.09
OLYM,Hoh,Hoh,9/22/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.3
OLYM,Hoh,Hoh,9/22/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.33
OLYM,Hoh,Hoh,9/22/14,112 N,112,0,N only,0.2
OLYM,Hoh,Hoh,9/14/14,initial,0,0,no enrichment,0.71
OLYM,Hoh,Hoh,9/22/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.78
OLYM,Hoh,Hoh,9/22/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.82
OLYM,Hoh,Hoh,9/22/14,112 N,112,0,N only,0.18
OLYM,Hoh,Hoh,9/22/14,control,0,0,no enrichment,0.1
OLYM,Hoh,Hoh,9/22/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.13
OLYM,Hoh,Hoh,9/22/14,31 P,0,31,P only,0.12
OLYM,Hoh,Hoh,9/22/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.88
OLYM,Hoh,Hoh,9/22/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.11
OLYM,Hoh,Hoh,9/22/14,control,0,0,no enrichment,0.12
OLYM,Hoh,Hoh,9/22/14,112 N,112,0,N only,0.28
OLYM,Hoh,Hoh,9/22/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.45
OLYM,Hoh,Hoh,9/22/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.9
OLYM,Hoh,Hoh,9/22/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.22
OLYM,Hoh,Hoh,9/22/14,31 P,0,31,P only,0.14
OLYM,Hoh,Hoh,9/22/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.08
OLYM,Hoh,Hoh,9/22/14,control,0,0,no enrichment,0.1
OLYM,Hoh,Hoh,9/22/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.92
OLYM,Hoh,Hoh,9/22/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.21
OLYM,Hoh,Hoh,9/22/14,31 P,0,31,P only,0.1
OLYM,Hoh,Hoh,9/22/14,56,56,31,N + 31 ug P + 2.8 mg Si,1.25
OLYM,Hoh,Hoh,9/22/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.09
OLYM,Hoh,Hoh,9/22/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.1
OLYM,Hoh,Hoh,9/22/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.11
OLYM,426,Crazy,9/7/14,initial,0,0,no enrichment,0.19
OLYM,426,Crazy,9/18/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.04
OLYM,426,Crazy,9/18/14,112 N,112,0,N only,0.19
OLYM,426,Crazy,9/18/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.04
OLYM,426,Crazy,9/18/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,426,Crazy,9/18/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.52
OLYM,426,Crazy,9/18/14,112 N + 31 P,112,31,112 ug N + 31 ug P,1.36
OLYM,426,Crazy,9/7/14,initial,0,0,no enrichment,0.14
OLYM,426,Crazy,9/18/14,31 P,0,31,P only,0.08
OLYM,426,Crazy,9/18/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.23
OLYM,426,Crazy,9/18/14,112 N + 31 P,112,31,112 ug N + 31 ug P,1.21
OLYM,426,Crazy,9/18/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.69
OLYM,426,Crazy,9/7/14,initial,0,0,no enrichment,0.27
OLYM,426,Crazy,9/18/14,112 N,112,0,N only,0.3
OLYM,426,Crazy,9/18/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.02
OLYM,426,Crazy,9/18/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.11
OLYM,426,Crazy,9/18/14,control,0,0,no enrichment,0.06
OLYM,426,Crazy,9/18/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.04
OLYM,426,Crazy,9/18/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,426,Crazy,9/18/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.04
OLYM,426,Crazy,9/18/14,112 N,112,0,N only,0.32
OLYM,426,Crazy,9/18/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.88
OLYM,426,Crazy,9/18/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.07
OLYM,426,Crazy,9/18/14,112 N + 31 P,112,31,112 ug N + 31 ug P,1.22
OLYM,426,Crazy,9/18/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.14
OLYM,426,Crazy,9/18/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.09
OLYM,426,Crazy,9/18/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,426,Crazy,9/18/14,control,0,0,no enrichment,0.1
OLYM,426,Crazy,9/18/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,426,Crazy,9/18/14,31 P,0,31,P only,0.11
OLYM,426,Crazy,9/18/14,control,0,0,no enrichment,0.21
OLYM,426,Crazy,9/18/14,31 P,0,31,P only,0.08
OLYM,426,Crazy,9/18/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.3
OLYM,263,Heather,9/11/14,control,0,0,no enrichment,0.04
OLYM,263,Heather,9/11/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,31 P,0,31,P only,0.05
OLYM,263,Heather,9/11/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,112 N,112,0,N only,0.08
OLYM,263,Heather,9/11/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,263,Heather,9/11/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.07
OLYM,263,Heather,9/11/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,31 P,0,31,P only,0.03
OLYM,263,Heather,9/11/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.07
OLYM,263,Heather,9/11/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,112 N,112,0,N only,0.08
OLYM,263,Heather,9/11/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.04
OLYM,263,Heather,9/11/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.04
OLYM,263,Heather,9/11/14,31 P,0,31,P only,0.04
OLYM,263,Heather,9/11/14,112 N,112,0,N only,0.13
OLYM,263,Heather,9/11/14,14,14,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.02
OLYM,263,Heather,9/11/14,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.06
OLYM,263,Heather,9/11/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.2
OLYM,263,Heather,9/11/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/11/14,56,56,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,263,Heather,9/11/14,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.05
OLYM,263,Heather,9/11/14,control,0,0,no enrichment,0.04
OLYM,263,Heather,9/3/14,initial,0,0,no enrichment,0.07
OLYM,263,Heather,9/11/14,112 N + 31 P,112,31,112 ug N + 31 ug P,0.09
OLYM,263,Heather,9/11/14,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.03
OLYM,263,Heather,9/3/14,initial,0,0,no enrichment,0.05
OLYM,263,Heather,9/11/14,7,7,31,N + 31 ug P + 2.8 mg Si,0.02
OLYM,263,Heather,9/3/14,initial,0,0,no enrichment,0.04
OLYM,263,Heather,9/11/14,control,0,0,no enrichment,0.03
